,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
17389,Rural,Mid,North,Zone 2,1,1,4,5245,Rented,52,0,0,1,119,23.0,18,0,A+,4,12,23105
17390,Rural,Large,North,Zone 5,3,1,2,7248,Company Owned,22,0,0,1,72,31.0,6,1,A+,6,25,8090
17391,Rural,Large,West,Zone 6,7,0,3,4710,Company Owned,53,0,0,1,185,27.0,30,0,C,4,23,39120
17392,Rural,Mid,West,Zone 4,1,0,4,7902,Rented,41,0,0,0,244,20.0,23,0,C,4,26,31063
17393,Rural,Large,North,Zone 6,2,0,3,5122,Company Owned,33,0,0,1,108,25.0,18,0,B+,2,7,22067
17394,Urban,Mid,South,Zone 2,8,0,2,4282,Company Owned,40,0,0,1,230,34.0,8,1,C,1,32,11116
17395,Rural,Large,West,Zone 6,3,0,4,4112,Company Owned,22,0,0,1,136,22.0,26,0,A,5,23,35137
17396,Rural,Small,South,Zone 1,2,0,4,4456,Rented,56,0,0,0,151,17.0,20,0,B+,3,21,25119
17397,Rural,Small,North,Zone 6,6,1,2,4617,Company Owned,52,1,0,0,186,29.0,0,0,C,0,15,6100
17398,Rural,Large,South,Zone 6,0,0,2,4938,Rented,65,1,0,1,146,27.0,24,0,B+,3,29,28064
17399,Rural,Large,North,Zone 6,6,0,3,5295,Company Owned,36,0,0,1,243,45.0,15,0,B,2,4,19149
17400,Rural,Mid,North,Zone 2,7,0,2,5677,Rented,59,0,0,0,150,20.0,24,0,B+,3,12,28108
17401,Rural,Large,North,Zone 6,0,0,3,3633,Company Owned,31,0,0,0,133,26.0,6,0,C,3,6,8079
17402,Rural,Large,South,Zone 5,2,0,2,6100,Company Owned,29,0,0,1,125,31.0,8,1,C,3,14,11096
17403,Rural,Small,West,Zone 1,3,2,3,4147,Company Owned,43,0,0,1,164,44.0,4,1,A+,5,3,5110
17404,Rural,Large,West,Zone 6,8,5,4,4622,Rented,60,0,0,0,179,21.0,14,1,A,4,29,18084
17405,Urban,Mid,West,Zone 4,4,1,4,3696,Rented,46,0,0,0,152,26.0,14,1,B,6,26,17095
17406,Rural,Mid,South,Zone 3,6,1,4,3094,Company Owned,55,0,0,1,146,29.0,33,0,B+,6,27,39130
17407,Rural,Small,North,Zone 6,1,2,3,4353,Company Owned,23,1,0,1,94,39.0,27,0,C,6,13,34093
17408,Rural,Large,North,Zone 6,4,1,4,7975,Company Owned,55,0,0,0,146,31.0,14,1,A+,5,28,18133
17409,Rural,Large,West,Zone 6,4,0,4,5135,Rented,55,0,0,0,172,48.0,27,1,C,2,23,37091
17410,Rural,Small,North,Zone 1,4,0,3,6636,Company Owned,68,0,0,1,208,44.0,24,1,A,3,31,34142
17411,Urban,Mid,South,Zone 2,0,0,3,4725,Rented,63,0,0,0,148,22.0,16,0,A,4,12,23100
17412,Rural,Large,West,Zone 6,3,4,3,5251,Company Owned,70,0,0,1,197,32.0,26,1,C,4,6,34146
17413,Rural,Small,West,Zone 6,5,3,2,4703,Company Owned,62,0,0,1,184,30.0,19,0,B+,5,15,22110
17414,Rural,Small,North,Zone 6,0,1,5,4454,Company Owned,35,0,1,1,267,30.0,22,0,B,4,9,26061
17415,Rural,Small,West,Zone 6,3,0,3,5892,Company Owned,20,0,0,0,266,23.0,0,0,C,0,15,8105
17416,Urban,Large,West,Zone 5,0,0,2,5070,Rented,50,0,0,1,61,33.0,22,0,A,2,14,29133
17417,Urban,Small,North,Zone 6,1,0,2,5617,Rented,46,0,0,0,65,17.0,33,0,B,5,9,39088
17418,Rural,Small,North,Zone 1,1,0,4,2610,Company Owned,61,1,0,1,150,28.0,19,0,A,6,16,25089
17419,Rural,Large,West,Zone 6,1,1,6,6736,Rented,56,0,0,1,135,23.0,4,0,A,1,23,5076
17420,Rural,Mid,West,Zone 4,6,0,3,4851,Company Owned,56,0,0,1,256,57.0,14,1,A+,6,26,18110
17421,Rural,Small,South,Zone 6,3,1,3,4588,Rented,21,0,0,1,192,33.0,10,0,B+,6,2,12138
17422,Rural,Mid,South,Zone 2,7,3,2,5293,Rented,51,0,0,0,160,16.0,9,0,A,4,32,12131
17423,Rural,Mid,North,Zone 4,3,4,2,5701,Company Owned,33,0,0,1,60,19.0,24,1,A+,6,26,31123
17424,Rural,Small,North,Zone 6,5,0,3,4859,Company Owned,52,1,0,1,122,22.0,10,1,A+,5,8,14123
17425,Rural,Mid,North,Zone 3,3,0,2,4298,Company Owned,38,1,0,1,75,39.0,6,1,A+,6,27,8127
17426,Rural,Large,North,Zone 6,2,0,2,5448,Company Owned,25,0,0,1,92,36.0,23,0,C,6,6,28078
17427,Rural,Small,South,Zone 1,6,2,2,4153,Company Owned,48,0,0,1,223,30.0,19,0,A,6,16,24096
17428,Rural,Mid,North,Zone 3,6,0,3,4651,Company Owned,35,0,0,1,222,43.0,13,0,C,2,27,16092
17429,Rural,Large,North,Zone 5,3,1,3,4846,Company Owned,51,1,0,1,59,29.0,11,0,C,5,17,15080
17430,Rural,Small,West,Zone 1,7,0,4,5270,Company Owned,33,0,0,1,140,43.0,5,1,B,1,30,7130
17431,Rural,Mid,South,Zone 2,8,3,2,6986,Rented,38,0,0,0,194,27.0,17,0,B,5,32,19110
17432,Rural,Small,North,Zone 6,5,3,2,5561,Company Owned,32,1,0,1,194,53.0,10,1,B+,2,8,12084
17433,Rural,Mid,North,Zone 4,3,2,3,5209,Company Owned,65,0,0,1,70,34.0,34,0,B+,4,26,40125
17434,Rural,Mid,West,Zone 4,5,0,4,3680,Company Owned,63,0,0,0,182,29.0,39,1,A+,6,11,52103
17435,Rural,Mid,North,Zone 4,0,0,1,8197,Rented,52,0,0,0,116,32.0,23,0,A+,5,26,29151
17436,Rural,Large,South,Zone 5,3,1,2,4213,Company Owned,49,0,0,0,247,37.0,19,0,A,5,10,24113
17437,Rural,Large,West,Zone 5,4,1,4,4094,Company Owned,31,1,0,1,223,53.0,23,1,B+,6,10,29111
17438,Rural,Mid,South,Zone 3,6,0,3,5131,Company Owned,38,0,0,1,166,37.0,0,0,C,0,27,3132
17439,Rural,Mid,North,Zone 2,4,0,2,4126,Company Owned,48,0,0,1,113,28.0,21,1,A+,2,12,28115
17440,Rural,Mid,North,Zone 3,3,0,3,4730,Rented,32,0,0,1,72,23.0,22,0,B,4,19,25126
17441,Rural,Mid,South,Zone 2,8,3,2,5593,Rented,51,0,0,0,236,16.0,16,1,C,5,32,21114
17442,Rural,Large,North,Zone 6,7,0,4,3964,Rented,32,0,0,0,155,23.0,5,1,C,3,28,7073
17443,Urban,Mid,North,Zone 4,3,0,3,4258,Company Owned,31,0,0,1,87,33.0,14,1,A+,6,26,20086
17444,Rural,Large,West,Zone 5,1,3,7,5793,Rented,59,0,0,1,143,27.0,4,0,B,3,14,5081
17445,Rural,Mid,North,Zone 4,6,1,3,5414,Company Owned,62,0,0,1,131,34.0,11,1,A+,3,26,16082
17446,Rural,Mid,North,Zone 2,4,0,4,4659,Rented,60,0,0,0,107,22.0,27,1,A,3,12,35069
17447,Rural,Mid,West,Zone 2,6,0,4,6103,Company Owned,65,0,0,1,96,17.0,19,0,B+,6,12,21069
17448,Rural,Large,North,Zone 6,7,1,1,5900,Company Owned,59,1,0,1,143,33.0,19,1,B,6,28,23075
17449,Rural,Small,South,Zone 6,7,0,2,4053,Rented,34,0,0,1,173,42.0,0,0,C,0,9,5078
17450,Rural,Mid,South,Zone 3,8,0,2,4724,Company Owned,27,0,0,1,133,30.0,17,0,B,4,19,21100
17451,Rural,Large,North,Zone 5,8,0,3,4918,Rented,63,0,0,0,70,18.0,18,0,C,2,24,24132
17452,Rural,Mid,South,Zone 4,1,0,2,5860,Rented,61,0,0,0,178,23.0,24,0,B,3,26,28142
17453,Rural,Large,North,Zone 5,0,1,3,3870,Rented,59,0,1,1,174,37.0,4,0,C,3,5,5106
17454,Rural,Large,North,Zone 6,8,0,2,3944,Rented,54,0,0,0,180,19.0,31,0,B,2,6,38129
17455,Rural,Mid,South,Zone 4,4,2,3,6761,Company Owned,30,0,0,1,93,35.0,5,1,C,3,11,7073
17456,Rural,Small,North,Zone 1,7,4,3,4424,Rented,40,0,0,0,252,22.0,14,0,B+,4,3,17123
17457,Rural,Large,North,Zone 6,6,0,2,5304,Company Owned,68,0,0,1,104,32.0,13,1,B+,6,23,16099
17458,Rural,Mid,West,Zone 2,1,3,4,6197,Company Owned,59,0,0,1,98,33.0,13,0,B,3,1,15112
17459,Rural,Large,South,Zone 6,3,4,2,5489,Company Owned,53,0,0,1,158,42.0,6,0,B+,2,29,7145
17460,Rural,Mid,West,Zone 4,3,2,3,4932,Rented,15,0,0,1,135,22.0,27,1,B,3,11,33105
17461,Rural,Small,South,Zone 6,7,1,4,6489,Company Owned,41,0,0,1,203,60.0,12,0,C,3,9,16135
17462,Rural,Large,South,Zone 5,1,0,4,4676,Company Owned,27,1,0,1,252,49.0,8,0,B+,3,14,10078
17463,Rural,Mid,North,Zone 2,6,0,3,4404,Company Owned,49,0,0,1,102,28.0,34,0,B,6,22,41069
17464,Rural,Large,North,Zone 6,4,0,3,3995,Rented,67,0,0,0,118,15.0,12,1,A+,6,28,18113
17465,Rural,Large,North,Zone 6,3,5,4,3681,Company Owned,24,0,0,1,62,26.0,4,0,C,1,28,5138
17466,Rural,Mid,West,Zone 3,4,3,5,3920,Rented,38,0,0,0,121,24.0,5,1,C,2,19,6114
17467,Rural,Large,South,Zone 6,4,0,2,4906,Company Owned,16,0,0,0,260,36.0,6,0,B,2,29,7079
17468,Rural,Mid,South,Zone 2,5,2,3,5560,Company Owned,30,0,0,1,151,34.0,7,1,C,2,32,10067
17469,Rural,Small,South,Zone 1,8,1,2,7053,Company Owned,54,1,1,0,233,24.0,13,0,C,4,21,18100
17470,Rural,Mid,West,Zone 4,6,0,4,3906,Company Owned,16,0,0,1,231,18.0,16,1,A+,5,11,22144
17471,Rural,Mid,North,Zone 4,3,1,3,4322,Company Owned,60,0,1,1,93,27.0,20,1,A+,3,26,27075
17472,Urban,Large,West,Zone 6,8,0,2,4619,Company Owned,31,0,0,0,266,22.0,35,1,A+,5,6,50150
17473,Rural,Large,West,Zone 6,0,0,4,3710,Rented,36,0,0,1,81,30.0,7,0,A,2,23,9139
17474,Urban,Mid,North,Zone 3,8,0,4,5762,Company Owned,33,0,0,1,111,28.0,22,0,B,3,27,27132
17475,Rural,Large,South,Zone 5,0,0,1,3583,Company Owned,61,0,0,1,135,25.0,5,0,A,6,25,7080
17476,Rural,Mid,West,Zone 4,7,0,4,4488,Company Owned,56,0,0,1,97,34.0,0,0,C,0,11,6093
17477,Urban,Mid,West,Zone 4,3,0,4,3670,Company Owned,70,0,0,0,161,37.0,39,0,A,4,11,52091
17478,Urban,Mid,West,Zone 4,3,0,2,5796,Company Owned,27,0,0,1,127,25.0,20,0,B,2,11,24123
17479,Rural,Large,North,Zone 5,3,0,3,5744,Rented,41,0,0,0,205,18.0,33,1,A,4,17,44141
17480,Rural,Small,North,Zone 6,1,2,2,7277,Company Owned,15,0,0,0,246,18.0,26,0,B+,5,15,30114
17481,Rural,Mid,South,Zone 2,5,0,3,4052,Rented,20,0,0,0,250,22.0,27,0,B,4,32,34148
17482,Rural,Large,South,Zone 5,8,1,4,3521,Company Owned,31,0,0,0,65,24.0,15,0,C,6,25,19109
17483,Rural,Mid,East,Zone 4,1,0,8,3027,Rented,18,0,0,1,70,29.0,16,0,A,4,26,22095
17484,Rural,Large,South,Zone 5,3,4,2,4862,Company Owned,43,0,0,1,216,27.0,24,1,B,6,25,28137
17485,Rural,Large,North,Zone 6,3,3,4,4716,Rented,19,0,0,1,131,26.0,21,0,C,6,28,27097
17486,Rural,Large,North,Zone 6,7,0,3,8278,Rented,39,1,0,1,106,25.0,17,0,A,4,7,23140
17487,Rural,Mid,North,Zone 3,4,1,2,5163,Rented,56,0,0,1,211,22.0,25,1,A+,4,27,32123
17488,Rural,Small,North,Zone 6,0,0,4,3782,Rented,67,0,0,1,244,31.0,35,0,A+,2,13,46125
17489,Rural,Mid,West,Zone 4,2,0,4,4848,Rented,42,1,0,1,196,30.0,39,0,A,3,11,52075
17490,Rural,Mid,West,Zone 2,1,0,4,5030,Company Owned,33,0,0,0,163,21.0,32,0,B+,4,12,40130
17491,Rural,Mid,South,Zone 4,3,0,2,5371,Rented,15,0,0,0,249,22.0,20,1,A+,2,26,29091
17492,Rural,Small,North,Zone 6,0,1,3,5780,Company Owned,25,0,0,0,197,28.0,6,0,A+,4,9,9080
17493,Rural,Large,North,Zone 6,0,0,4,5135,Company Owned,19,1,0,1,88,45.0,10,0,A+,5,28,14135
17494,Rural,Mid,South,Zone 2,1,1,2,5651,Company Owned,29,0,0,0,115,20.0,22,1,A,3,32,30151
17495,Rural,Mid,South,Zone 4,4,0,2,6064,Company Owned,15,0,0,1,74,17.0,25,0,B+,6,11,32073
17496,Rural,Small,North,Zone 6,0,1,4,4116,Company Owned,48,0,0,1,270,29.0,25,0,A+,2,13,32151
17497,Rural,Large,South,Zone 5,6,1,6,2835,Rented,67,0,0,0,158,33.0,7,0,A,1,14,9094
17498,Rural,Mid,West,Zone 3,4,0,2,3199,Rented,15,0,0,0,133,26.0,20,0,C,6,19,25125
17499,Rural,Mid,North,Zone 3,8,0,4,4669,Rented,18,1,0,1,141,29.0,25,0,B+,5,27,29098
17500,Rural,Small,South,Zone 1,2,1,3,4338,Rented,57,0,0,1,113,30.0,6,0,C,1,21,8123
17501,Rural,Small,North,Zone 6,5,0,2,4768,Company Owned,35,0,0,1,111,23.0,22,1,B,6,9,27075
17502,Rural,Mid,South,Zone 3,5,0,2,5077,Company Owned,54,0,0,1,136,36.0,6,0,B+,6,27,7115
17503,Rural,Large,West,Zone 6,1,0,3,3668,Company Owned,45,0,0,0,144,32.0,6,0,A+,3,23,7132
17504,Rural,Large,West,Zone 6,4,0,4,4251,Company Owned,40,0,0,1,174,31.0,13,1,B,2,23,17121
17505,Rural,Large,South,Zone 5,4,2,2,3540,Company Owned,34,0,0,0,239,42.0,11,0,C,1,10,14099
17506,Rural,Mid,North,Zone 3,6,4,3,5098,Company Owned,41,0,0,1,124,32.0,16,1,C,6,27,21124
17507,Rural,Large,North,Zone 6,5,0,2,5656,Rented,26,1,0,0,109,35.0,23,0,B+,5,7,28141
17508,Rural,Large,North,Zone 6,3,1,4,3931,Rented,57,0,0,1,133,32.0,6,1,B,1,6,8081
17509,Rural,Mid,South,Zone 2,3,0,2,4645,Company Owned,15,0,0,0,214,28.0,14,1,A+,1,32,20140
17510,Rural,Large,West,Zone 6,6,0,3,3624,Company Owned,60,1,0,1,217,33.0,25,0,C,6,23,31061
17511,Rural,Small,North,Zone 1,8,0,2,3015,Rented,33,0,0,1,126,21.0,17,1,A+,3,21,23117
17512,Rural,Small,West,Zone 6,2,0,4,6911,Company Owned,60,0,0,0,139,23.0,20,0,B,2,15,25115
17513,Urban,Large,North,Zone 5,6,0,4,5061,Company Owned,59,0,0,0,135,41.0,20,0,B,3,17,23098
17514,Rural,Large,North,Zone 6,5,0,3,4087,Company Owned,26,0,0,0,193,31.0,7,1,C,3,6,10110
17515,Rural,Large,North,Zone 5,3,0,4,6152,Company Owned,18,0,0,0,119,30.0,0,0,C,0,14,6130
17516,Urban,Large,North,Zone 6,2,0,2,6695,Rented,48,0,0,0,144,22.0,25,0,B,6,6,29122
17517,Rural,Large,North,Zone 6,3,0,4,5715,Company Owned,61,0,0,1,227,30.0,5,1,C,2,23,7127
17518,Rural,Mid,North,Zone 4,5,0,4,5138,Rented,53,1,0,0,114,25.0,5,1,C,1,26,6148
17519,Rural,Large,North,Zone 6,8,1,3,4471,Rented,17,0,0,0,137,23.0,17,0,B+,3,23,20109
17520,Rural,Mid,North,Zone 4,5,0,1,4281,Company Owned,63,0,0,1,240,33.0,15,0,C,2,26,20081
17521,Urban,Large,North,Zone 5,8,0,2,3151,Company Owned,29,0,1,1,100,27.0,23,1,B+,3,14,28140
17522,Rural,Mid,South,Zone 4,8,0,4,3798,Rented,61,0,0,0,136,18.0,23,0,C,4,26,31102
17523,Rural,Large,West,Zone 5,0,0,4,4466,Company Owned,57,0,0,1,228,23.0,20,0,C,3,14,27083
17524,Rural,Mid,South,Zone 2,1,0,2,7517,Rented,18,0,0,0,258,17.0,11,0,A+,4,32,14150
17525,Rural,Small,West,Zone 6,2,0,2,5156,Rented,70,0,0,1,63,35.0,15,1,A,3,2,21083
17526,Rural,Mid,West,Zone 4,5,0,2,5648,Rented,50,0,0,1,200,28.0,4,0,C,5,11,5126
17527,Rural,Mid,South,Zone 4,4,4,3,3472,Company Owned,45,0,0,1,99,25.0,0,0,C,0,26,3073
17528,Rural,Mid,West,Zone 4,4,1,3,4591,Company Owned,34,0,0,0,72,23.0,13,1,A+,3,11,17077
17529,Urban,Large,North,Zone 6,2,0,2,5946,Rented,41,0,1,1,123,24.0,15,0,C,2,23,20085
17530,Rural,Mid,North,Zone 3,0,0,3,5105,Company Owned,31,0,1,0,201,23.0,19,0,A,5,27,24081
17531,Rural,Mid,North,Zone 2,3,3,2,4954,Company Owned,29,0,0,1,55,31.0,17,0,B,6,12,19076
17532,Rural,Mid,North,Zone 2,8,0,2,6087,Company Owned,36,0,0,0,132,26.0,30,1,C,4,12,43124
17533,Rural,Large,North,Zone 5,3,2,4,5123,Rented,48,1,0,1,237,34.0,15,0,B,5,24,17077
17534,Rural,Small,North,Zone 1,0,0,2,5599,Rented,43,0,0,0,248,24.0,16,0,B+,4,21,20055
17535,Rural,Large,North,Zone 6,7,0,3,3878,Rented,31,0,0,0,109,21.0,13,0,B+,3,29,16138
17536,Rural,Large,North,Zone 6,6,3,3,6949,Rented,39,0,0,0,223,16.0,13,1,A,5,23,17134
17537,Rural,Mid,South,Zone 3,5,0,2,6360,Rented,32,0,0,1,174,26.0,25,0,B+,4,19,31119
17538,Rural,Small,North,Zone 1,8,0,3,6493,Company Owned,18,0,0,1,208,29.0,24,0,A,3,21,31078
17539,Rural,Mid,South,Zone 4,7,0,2,4981,Rented,41,0,0,0,87,27.0,10,0,B,1,26,11120
17540,Rural,Large,North,Zone 6,3,3,2,5245,Company Owned,28,1,0,1,136,28.0,20,0,A,4,29,26129
17541,Rural,Small,North,Zone 6,6,0,1,5740,Rented,62,0,0,0,119,18.0,26,1,B,3,13,31113
17542,Urban,Large,North,Zone 5,1,0,5,4730,Company Owned,44,1,0,1,233,55.0,5,0,B+,3,17,5126
17543,Rural,Mid,North,Zone 2,0,1,3,4920,Rented,63,1,0,1,140,21.0,28,0,B+,5,1,33083
17544,Rural,Mid,East,Zone 4,4,0,7,4066,Company Owned,26,0,0,1,87,34.0,18,0,C,3,26,24067
17545,Rural,Large,South,Zone 6,8,0,2,3751,Company Owned,24,0,0,1,135,20.0,7,0,B,2,23,9067
17546,Rural,Small,West,Zone 6,1,0,2,4845,Rented,70,0,0,0,111,20.0,0,0,C,0,9,3130
17547,Urban,Mid,West,Zone 4,0,0,4,4868,Company Owned,41,0,0,1,245,24.0,13,0,A,1,26,16146
17548,Urban,Small,West,Zone 1,7,0,2,3534,Company Owned,19,0,0,1,219,32.0,17,0,B,5,3,20129
17549,Urban,Mid,North,Zone 3,3,3,5,3847,Company Owned,40,0,0,0,246,24.0,22,0,C,4,27,27133
17550,Rural,Large,West,Zone 6,2,0,4,3286,Company Owned,50,0,0,1,122,28.0,8,0,C,2,23,10102
17551,Rural,Large,North,Zone 5,3,4,4,4024,Company Owned,57,0,0,1,172,31.0,18,1,B+,2,17,21074
17552,Rural,Mid,West,Zone 3,3,0,2,4470,Rented,35,0,0,0,168,20.0,23,0,B+,2,19,28105
17553,Rural,Mid,South,Zone 4,1,0,3,4815,Company Owned,41,0,0,1,109,24.0,18,0,C,2,26,22121
17554,Rural,Small,South,Zone 6,2,0,2,5843,Company Owned,61,0,0,1,156,21.0,20,0,B,6,15,25147
17555,Rural,Mid,North,Zone 4,2,5,2,4769,Company Owned,63,0,0,1,257,43.0,22,0,B,3,26,25139
17556,Rural,Small,North,Zone 6,7,0,3,4862,Company Owned,48,0,1,0,114,35.0,23,0,A,6,13,30096
17557,Rural,Small,West,Zone 1,6,0,2,4519,Company Owned,18,0,0,1,193,34.0,19,0,A,4,30,24065
17558,Rural,Mid,West,Zone 3,3,0,7,5578,Rented,29,0,0,1,251,36.0,20,0,B+,2,19,25103
17559,Urban,Large,West,Zone 6,5,2,4,7299,Rented,28,0,0,1,124,32.0,16,1,A+,4,6,21127
17560,Rural,Mid,South,Zone 2,8,0,2,3636,Company Owned,29,0,0,1,162,28.0,10,1,A+,6,32,15133
17561,Rural,Small,West,Zone 1,8,1,4,5262,Company Owned,48,0,0,1,72,27.0,27,0,C,5,3,35105
17562,Rural,Large,North,Zone 6,8,1,3,3430,Company Owned,68,0,0,0,100,20.0,37,1,A+,4,23,49072
17563,Rural,Mid,North,Zone 2,6,0,4,4983,Rented,21,1,1,1,60,34.0,0,0,C,0,22,14069
17564,Rural,Mid,South,Zone 4,5,1,2,5083,Company Owned,41,1,0,1,156,44.0,16,1,B+,3,26,19062
17565,Rural,Small,South,Zone 6,8,0,3,5262,Company Owned,66,1,0,1,242,28.0,29,1,A+,6,2,41150
17566,Rural,Small,North,Zone 6,5,0,2,6182,Company Owned,19,0,0,1,227,32.0,11,0,A,6,13,14143
17567,Urban,Large,South,Zone 5,7,0,3,4052,Company Owned,45,1,0,1,260,43.0,25,0,A,4,25,31122
17568,Rural,Small,North,Zone 1,5,0,5,5480,Rented,48,0,0,1,174,27.0,0,0,C,0,31,6095
17569,Rural,Small,North,Zone 1,0,0,2,2586,Rented,69,0,0,1,177,37.0,23,0,C,2,16,30113
17570,Urban,Mid,West,Zone 3,8,3,3,4237,Company Owned,46,0,0,0,112,20.0,4,1,A+,3,19,5064
17571,Rural,Small,South,Zone 1,0,0,3,5726,Rented,53,0,0,1,87,27.0,22,0,C,2,21,29144
17572,Rural,Mid,West,Zone 3,4,1,4,4448,Company Owned,23,0,0,1,239,27.0,14,0,B+,6,19,17149
17573,Rural,Small,North,Zone 1,5,1,3,5312,Company Owned,19,0,0,0,234,31.0,11,0,C,1,31,14072
17574,Rural,Small,North,Zone 6,8,3,2,5406,Company Owned,50,0,0,0,237,22.0,21,0,C,4,9,27084
17575,Rural,Mid,West,Zone 4,6,0,4,4098,Company Owned,33,0,0,1,219,33.0,12,1,B+,3,26,15068
17576,Rural,Mid,North,Zone 3,5,1,3,4339,Rented,67,0,0,0,238,27.0,27,0,B,6,27,32136
17577,Rural,Mid,South,Zone 2,8,4,2,3926,Rented,52,0,0,0,222,24.0,25,1,A+,4,32,32076
17578,Rural,Mid,North,Zone 3,4,3,3,4440,Company Owned,25,0,0,0,75,34.0,19,1,A+,6,27,25124
17579,Rural,Small,South,Zone 6,6,0,3,4291,Rented,50,0,0,1,67,26.0,32,1,A+,5,9,45143
17580,Rural,Large,North,Zone 5,6,0,3,5120,Company Owned,31,0,0,1,132,34.0,4,1,B+,3,25,5067
17581,Rural,Mid,West,Zone 4,0,0,5,8135,Company Owned,39,0,0,0,128,30.0,34,0,A,6,26,47061
17582,Rural,Mid,West,Zone 4,3,0,3,3705,Company Owned,33,0,0,1,220,29.0,6,0,B,1,11,6130
17583,Rural,Large,West,Zone 6,1,0,4,3881,Rented,70,0,1,1,107,31.0,24,1,A+,4,23,31056
17584,Rural,Small,South,Zone 1,3,0,4,5025,Company Owned,33,1,0,1,258,22.0,27,0,B,6,21,31093
17585,Rural,Small,South,Zone 6,4,0,2,4201,Company Owned,23,0,0,0,263,24.0,24,0,A,3,9,30130
17586,Rural,Large,North,Zone 6,7,0,2,5380,Company Owned,16,1,0,0,209,29.0,26,0,B+,5,28,30099
17587,Rural,Large,West,Zone 5,0,2,4,4556,Rented,68,0,0,1,129,28.0,0,0,C,0,14,3115
17588,Rural,Small,North,Zone 6,8,0,4,4966,Rented,37,0,0,0,213,32.0,6,0,B,1,8,7071
17589,Urban,Mid,North,Zone 3,8,0,2,5089,Rented,29,0,0,0,232,17.0,22,0,B,3,27,25087
17590,Rural,Large,North,Zone 5,4,1,2,4848,Rented,53,0,0,1,143,35.0,11,0,A,2,25,15080
17591,Rural,Mid,South,Zone 3,0,0,2,3404,Rented,25,0,0,1,149,30.0,8,0,C,1,19,11088
17592,Rural,Large,North,Zone 5,7,2,3,3174,Company Owned,69,0,0,1,57,32.0,4,1,C,1,5,5145
17593,Rural,Large,North,Zone 5,5,2,3,4743,Rented,33,0,0,1,159,38.0,6,0,B,2,24,6110
17594,Rural,Small,South,Zone 6,8,1,3,3816,Company Owned,21,0,0,1,104,31.0,25,1,B+,6,9,30067
17595,Rural,Mid,North,Zone 2,4,1,3,6369,Company Owned,62,0,0,1,218,24.0,22,1,A+,6,12,29101
17596,Rural,Mid,South,Zone 2,3,0,3,3081,Company Owned,33,0,0,0,121,43.0,19,1,A+,6,32,24099
17597,Rural,Small,South,Zone 1,0,1,2,4834,Company Owned,61,0,0,1,172,25.0,22,0,B,3,21,25143
17598,Rural,Large,West,Zone 5,4,0,3,4622,Rented,69,0,0,1,240,27.0,9,1,C,4,14,11137
17599,Rural,Large,North,Zone 5,6,0,2,5412,Company Owned,31,0,0,1,167,44.0,25,1,C,3,17,33095
17600,Rural,Mid,East,Zone 3,2,0,5,3842,Company Owned,41,0,0,0,141,26.0,26,0,B,5,27,32116
17601,Rural,Small,North,Zone 1,4,0,2,5312,Rented,69,0,0,1,106,25.0,25,0,C,3,30,32132
17602,Rural,Large,North,Zone 6,6,3,2,5189,Company Owned,48,0,0,1,126,50.0,17,0,A,6,28,21086
17603,Rural,Large,North,Zone 5,6,0,2,4014,Rented,24,0,0,1,154,35.0,22,0,C,2,24,30140
17604,Rural,Small,West,Zone 1,0,0,4,4804,Rented,22,0,0,0,206,40.0,14,0,A,1,30,18104
17605,Rural,Small,North,Zone 6,6,2,4,5239,Company Owned,63,0,0,1,191,32.0,27,1,C,2,8,35071
17606,Rural,Mid,West,Zone 4,5,3,3,5164,Company Owned,32,0,0,0,82,32.0,25,0,A,6,11,31126
17607,Urban,Mid,North,Zone 3,3,0,3,5432,Rented,40,0,0,0,145,20.0,29,1,A+,3,27,41094
17608,Rural,Large,South,Zone 5,0,1,2,4472,Rented,54,0,1,0,166,31.0,20,0,B,6,25,24131
17609,Rural,Large,West,Zone 6,6,1,2,6930,Company Owned,24,0,0,0,166,28.0,13,1,A+,6,23,18079
17610,Rural,Mid,North,Zone 4,5,1,3,6050,Rented,19,0,0,0,59,39.0,6,0,B+,3,26,8132
17611,Rural,Small,North,Zone 1,1,1,3,4236,Company Owned,34,0,0,1,83,21.0,12,1,C,5,30,16080
17612,Rural,Large,North,Zone 6,4,2,5,4597,Rented,55,1,0,1,266,29.0,9,0,B+,4,28,10122
17613,Rural,Mid,South,Zone 4,8,1,3,3948,Company Owned,47,0,0,0,88,24.0,22,0,B,3,26,26150
17614,Rural,Large,North,Zone 5,6,2,3,3506,Rented,53,0,0,1,85,29.0,6,0,C,1,25,8062
17615,Rural,Mid,West,Zone 3,6,0,4,5426,Company Owned,43,0,0,1,81,36.0,13,0,C,3,19,17063
17616,Rural,Mid,North,Zone 4,1,3,3,5554,Rented,40,0,0,0,94,20.0,15,0,C,5,26,19115
17617,Rural,Large,North,Zone 5,7,0,2,5366,Rented,24,0,1,1,255,30.0,33,1,A+,2,25,46127
17618,Rural,Large,North,Zone 5,5,0,2,6119,Rented,22,0,0,1,148,57.0,27,1,B,6,5,33065
